,0,1
0,1,account
1,2,aggregate
2,3,add
3,4,after
4,5,alter
5,6,completion
6,7,schedule
7,8,server
8,9,columns
9,10,drop
10,11,analyze
11,12,json
12,13,value
13,14,master_ssl_ca
14,15,master_ssl_verify_cert
15,16,nchar
16,17,action
17,18,create
18,19,at
19,20,starts
20,21,returns
21,22,host
22,23,row_format
23,24,deallocate prepare
24,25,drop prepare
25,26,against
26,27,fulltext
27,28,escape
28,29,mode
29,30,repeat
30,31,sql_big_result
31,32,isolation
32,33,read committed
33,34,read uncommitted
34,35,repeatable read
35,36,serializable
36,37,work
